content,poster,follower,post_time,title
            你们都是怎么学会自己注谢的，传授一下经验，谢谢大家，承蒙各位说说！,Youni子益,9,,如何学会自己注谢
            最近很看到很多吧友提到自我注射，无从下手，不知道需要哪些材料，在这里发一份文字版的自我注射教程以及操作过程中的一些注意事项，此教程属于推注版，非滴注版本，因为推注可以第一时间给药，尽快止血缓解疼痛得到治疗。关涛大哥也发过自我注射的教学视频：,傻瓜看我名字,50,,自我注射参考事项！
            昨天就碰了一下，小手指头大小，今天就有鸡蛋大的肿块了，又红又紫，不知道是需不需要打针，或者有其他止血办法么！,朱爱杨之晨帆,7,,胸部皮下出血，一直流，止不住
            ,朱爱杨之晨帆,3,,我发了好几个贴，居然都没有，明明显示发送成功，怎么回事
            ,周福英1994,31,,悲催了，血尿了，刚打完因子
            我是普通的居民医保，基本上不交钱的那种,光之剑客,15,,复合物涨价了。涨价部分医保完全不能报，有救没
            以前只知道自己有血凝固慢，大出血会止不住。前几天锻炼身体，有点拉伤手肘，后来手伸不直了，也没太在意，不疼不痒的，想想韧带拉伤了，过几天就好。第二天忽然间看到个好消息，一时激动，手用力一甩，瞬间疼死…过了一会儿，也没什么感觉了，只是觉得手肘不舒服，就手臂轻轻转了两下，这一转就出事了，感觉手肘抽筋，瞬间肿了，手臂直接不能动，动一下就抽筋疼的厉害，不动里面也疼，后来去拍片，骨头没事自己也不知道，医生说是韧带拉伤，给个药膏就好了（那医生觉得他好傻逼）说只能养。回去涂药膏，贴了几贴狗皮膏药，一点好转没有，反而感觉里面充血似的憋的很难受，而且是不是刺痛，后来我阿姨对我说是这个病（家里遗传，两个阿姨儿子都有过了）去医院看了下，打了一针就感觉好一些没那么疼了，能睡觉了晚上（原先疼的两天没睡）,八分堡凸少年,14,,头一次发作
            儿子9因子活性12.9，老婆9因子活性26.5，儿子可以理解是血友病患者，因为外公是患者，老婆应该是携带者，9因子怎么也这么低？求大神解释下？,自在无为2011,10,,求助
            私服的 有的keyiyiqi,90后不幸的小孩,29,,有没有 玩地下城的
            现在牙齿又开始出血了，各位有什么好办法啊,蓝蝶中的杨过,3,,又出血了！
            能不能喝西洋参啊之类的东西？,八分堡凸少年,3,,血友病，这两天能补么
            凝血不正常，肝功能跟血小板都正常，,cuijie5,7,,我属于血管性假性血友病吗
            希望吧内的家长们给个意见,执笔伐刀,13,,希望吧内的家长们给个意见
            我发十几次图片都删除了，又不是发的非法的，只是孩子肿大了，问一下高手怎么办需不需要打针，就是删除，叫我气死了,朱爱杨之晨帆,14,,你妹！发得图片都删除了
            这个情况是好了还是在出血呢？没有明显的变大！今天第四天了怎么又有红点！,粪青180,21,,能帮我看看吗？
            亲爱的吧友们！大家好！初次来到，说说我们家的小故事~,romantic颖,134,,因为爱 所以存在  家和万事兴
            今天忽然感觉发烧了，我是左手手肘疼，忽然右手好像也有点不舒服，暂时不疼，感觉有发做的预照，这怎么办，发烧的人头痛,八分堡凸少年,5,,打了三四天针还没好
            疼的睡不着，刚抽了一根烟，没用过因子熬过40多年,竹林中的樱桃树,4,,疼的睡不着，刚抽了一根烟，没用过因子熬过40多年
            现在右腿比左腿短，髋关节经常出血导致的，有什么好点的药，治疗软骨的么,zhengNL8355352,19,,两腿不一样长
            我家宝宝早产，新生儿科时查凝血，aptt97，八因子65，九因子23。医生说凝血不好，给输了血浆。,love星语心愿y,3,,也求大家帮忙看看，帮我分析
            踝关节几天出血一次有时肿不疼。但肿消不了多少还有小肿几豪米消不了。有什么可帮忙消肿的吗？,168ttabc,6,,踝关节
            现在我家红心猕猴桃成熟了，可是我零散的销售，并不能解决问题。。红心猕猴桃数猕猴桃之中最好吃的。口感最好。富含的维生素一经各种微量元素都是各种水果之中最多的，也被称为水果之王。适合各年龄的人吃。,丫丷丫丷,24,,征集办法，一经采纳送一年365个红心猕猴桃
            ,天平Y84,26,,找兼职  有手机电脑
            最近几天大便就是那个部位 你们懂的  撕裂状的疼，最后带一点血色，今天突然拉了就带血，擦了纸都是满满的红色，请教各位有这种情况嘛？怎么应对？？？,圣西罗22號丶,10,,吧里有没有 有痔疮的- -  有点丢人，你们咋解决的啊？手术嘛？
            为什么一到晚上睡觉的时候，膝盖就疼的非常厉害，白天坐在沙发上面还没事，一到晚上躺床上之后就开始疼,小仙布,1,,还是膝盖问题
            如图所示,馨—,1,,未来血友病的治疗可能会有新突破
            ,疯狂的肉包,17,,14个月宝宝怎么预防？
            ,车收音,32,,请病友们证明一下运动能不能提升凝血因子活性
            ,lilith19th,87,,ace910最新动向
            朋友们我想问一下，血友病到哪儿去检测呢？平时生活中有什么表现吗？我爸爸今年五十多因为脑出血住院，三十多年前检查过一次说我爸缺第九因子，可是这么多年我爸没有出现过血流不止的问题膝盖什么的都没有过水肿，流血之后很快也就没问题了，他就是平时爱留鼻血，这个我哥和我儿子都没事，现在我爸在重症监护室，现在第二次出血，医生查了血分析，我爸各项指标都很好，没有出现凝血不好，二次出血是因为拔了引流管之后出现的，友友们，我写的有点长，希望友友们看完之后给我一些帮助，非常感谢。,wznvivien,6,,脑出血的问题以及是不是血友病的症状
            左胳膊老出血,lizhanhaoren,2,,左胳膊老出血
            被咬得地方青一块紫一块的 不知道咋回事,尼妈大花裤衩子,27,,最近几天被蚊子咬就肿
            连着整条腿都难伸直,大千世界无qby,1,,大腿淤青
            ,大千世界无qby,1,,怎么查自己是那种程度的
            九因子低会不会造成其他因子交替降低？急求！,寄托科技,7,,九因子低会不会造成其他因子交替降低？急求！
            如题，有必要吗,钟玉苑,8,,得了水痘，要注射因子吗？
            前些日子儿子老莫名其妙的流鼻血，很难止住，去医院检查才发现得了血友病，缺少第八因子应该是甲型的吧？现在要用药预防孩子出血，医生建议现在用美国拜耳的基因工程的药，但是我们市里面没有这种药，要到别的地方去买，有吧友知道这个药的全名吗？因为孩子还小医生说打小瓶的，好像是260个单位的，有人知道这个药的全名的吗？？？,瞳孔的魔o,25,,孩子得了血友病需要用药，不知道药的全名！！
            听说中央新闻有说血友病能治了，请问，是真的吗？,妈妈不想坚强,14,,听说中央新闻有说血友病能治了，请问，是真的吗
            如果有请回复我或加好友,月羽哲,3,,血友里有得癫痫的吗？
            话说刘陕西当初挂出血友病研究院的招牌时，因为没有任何知名度，于是便靠电线竿广告来做推广，其中有一句“祖传老中医，专治血友病”，数月后，有人把这句广告语改成“祖传老中医，专治刘陕西”。,甄虬迷,0,,编个段子，纯属娱乐
            求转发！求扩散！,cnlara,53,,《血友病其实不可怕》2015最新下载办法公布
            血友病小孩拉肚子是不是对病情影响很大,寄托科技,9,,血友病小孩拉肚子是不是对病情影响很大
            谁在 胃疼的不行了  我的天   除了出血第一次疼这么厉害   。怎么办   疼死,好几把不淡定,8,,胃疼。。。。。。疼死
            皮下显紫黑色且有块状物质，严重吗？是否需要输因子，谢谢！需,寄托科技,18,,皮下显紫黑色且有块状物质，严重吗？是否需要输因子，谢谢！需
            楼主是一名高中生 血友病甲 不敢剧烈运动 所以一直很胖而遭受同学歧视 想问一下有没有病友减肥成功的案例 跟楼主分享一下,一墨千秋ZangSH,14,,血友病减肥
            手肘不舒服把仅剩的两支药打了，结果晚上睡觉不老实侧身压一晚上，下午四点拿药回来又打了四支到现在居然还没止痛，疼了一天啊啊啊啊啊啊！,1103283877,9,,好烦啊
            ,leonxi1990,40,,恭喜血友病回归
            ,cnlara,103,,[大型经验贴修改版]血友病其实不可怕[附下载]
            咱们的静脉血管可以说是饱受摧残，尤其是预防治疗的患者，两三天注射一次，手背被打成了筛子。于是，保养血管和开发新血管就显得很重要了。,前度刘郎现再来,0,,开发新血管可保护所有血管，等待新疗法
            本人今年16，平常也有预防治疗，但左右肘关节和脚趾关节老是交替出血，一个星期起码要出血一次，这是预防不当，剂量不够还是别的原因呢？,滞笨的小骚年,26,,求助 关于频繁出血
            虽然我是轻微的8因子缺少，检查过一次指标是25，生活中几乎没什么影响，但是只要闻到风油精，红花油一类的东西，几乎十次里面九次要鼻子出血，以前一直不知道，后来才发现，是水杨酸。,油面精神,13,,8因子缺少，生活当中很多东西禁忌接触，要特别当心。
            小朋友走路摔倒，额头撞出小包，现在散开了，但瘀血散到鼻梁边的眼角，明显看出有点淤青，请问大家如何快速恢复，会影响视力吗？谢谢！,警长猫Y,5,,额头瘀血散到眼角如何快速恢复，会影响视力吗？
            这么多年多少个日日夜夜疼的睡不着实在记不起了，只知道爸妈接到过四次病危通知，但都挺过来了。如今我以长大，有了自己的家庭，有了自己的孩子，今年又背景离乡从安徽来到贵州创业。我不知道以后会有多少困难，但我相信只要我坚持，只要我不放弃，我不会比常人差，也许我会更好。从小到大我都在心里告诫自己，不要把自己当个病人，只要有“心”什么困难都能挺过，所以病魔一次次把我打倒，但我又一次次爬起来了。甚至还锻炼了我的意志，让我学会了珍惜，让我学会了感恩！,1314520240min,17,,二十五了，只知道自己是血友病。但我从没把自己当做一个病人
            牙龈严重出血，打了两支因子也没止住，怎么办呀,心碎的伤疤,23,,牙龈严重出血，打了两支因子也没
            弟弟脚上被蚊子叮了  他自己挠破了   就喷了点花露水整个脚都肿了   怎么回事,清风挽发44,34,,求助
            宝宝出生一个月的时候肛周脓肿做手术查出凝血功能差，去华西妇女儿童医院挂的急诊，查出两个因子都有偏低。当时急诊医生就怀疑是血友病。因为过年，华西挂不了号，当地县医院又不敢动刀，就去肛肠专科医院切的脓肿，宝宝也并没有出血不止的情况（医生说也可能是屁股上血管较少），之后也没有给宝宝查过，想着等他一两岁稳定点再去查。也是对他抱有希望吧。一直以为宝宝是血友病，平常过日子对他特别小心，整天提心吊胆，经常上网查血友病的情况。担心到睡不着。直到今天我才发现一个事情。有没有可能宝宝不是血友病而是缺乏维生素k呢？网上说刚出生的孩子比较容易缺乏维生素k，并且用了抗生素后更加缺乏。宝宝在做肛周脓肿手术前，刚因肺炎住院了半个月，期间一直在输头孢类的消炎药。没有血友病家族史，求,后味后味,10,,求高手指点，
            不小心自己把腿踩空了，把那个脚扭了下，基本上快全好了 ，半夜用冰敷关节出血了  对置换的关节不会有影响吧？  扭伤那个就是做过置换的,A沙漠飞狼,4,,膝关节置换
            😌,打不死的小強yy,0,,😊
            我是一名甲型血友病患者，我有六个姨一个舅，所有姨家的孩子加起来有二十多个，我还有一个哥哥。为什么只有我患有这个病？是基因突变，还是其他原因？,神医强哥,9,,咨询各位病友一些问题，麻烦大家给解惑。
            我想标题要长，我想足够吸引眼球，这个帖子是我思考很久才准备写出来的，我的名字叫做太空来客，去年在我的本命年，我的儿子出生，和我一样属蛇，取名永康，不得不提我的老婆，小红，94年，对我不离不弃，为了和我结婚，和家人反目决裂，但如今无家可归，后面我会很详细的说我们的故事，并且会有图的。,taikonglaike,485,,送给那些正在颓废的朋友，1.5%含量，100%健康！
            一楼献给国家,我很在乎你miss,2,,大家都到  刘陕西吧    去骂 刘陕西   速速 的欧    不要磨蹭OK
            不知道有没有必要打因子呢！,朱爱杨之晨帆,13,,这是不是关节出血有红色的没有淤青，肿的跟鸡蛋黄一般大，
            我的膝盖已经消肿了能走路了为什还挺痛,XuN0918,9,,请教一下
            从6月25号至今反复出血5次了，每次也用了因子，现在每天用药预防出血，能消肿吗,打不死的小強yy,5,,能消肿吗？成这样了
            我呢都17了没有读书了工作是个恼火的事情你们都在做什么简单的活呢？,额的的大声的,9,,工作的事情
            兼职懂编写C语言,车收音,0,,兼职懂编写C语言
            辛苦两个多月今天终于结束了，学驾照期间用了20几只因子，确实艰难，但是所有科目都是满分通过！,日向美女,3,,终于拿到驾照了
            一楼献给国家,低调魔都扛把子,2,,血友兄弟姐妹们，小兄弟我考虑建个血友就业群，进来一起交流交流
            ✎﹍﹍﹍﹍﹍﹍﹍﹍﹍﹍﹍﹍,钟俞0荑花羡,0,,我是看了新闻过来的
            不要被骗了，而且换器官还要一辈子服用抗排异药物和激素，这样会让身体更加不堪重负。大家不要上当,丛心所御,0,,有人问换脾脏可以治血友病吗，不可以
            2016年8月1日讯 /生物谷BIOON/ --基因疗法先驱BioMarin公司开发的用于治疗重度血友病A的基因疗法BMN270临床研究取得重大成功。公司预计，如果这一药物获得批准，公司预计每年将获得超过10亿美元的收入。BioMarin公司表示希望BMN270能够能为明年公司的四大支柱之一。,聪烽,11,,2016年8月1日讯 /生物谷BIOON/ --基因疗法先驱BioMarin公司开发
            血友病患者锻炼经验。,丛心所御,15,,血友病患者锻炼经验
            如题，要是用处不大，我就不输了,烯丶尐简,2,,昨晚膝关节出血肿了，今天输因子还有用吗？
            ,云水飘逸1,10,,凝血因子生长药……一张笑抽筋的图片
            和大家说下国家人社部药品目录的意义。我们所有的报销药品都必须是国家药品目录中有的药品，这决定了血友病治疗用药是否给报销。目前的政策，甲型血友病所用的血源性凝血因子8在甲类，基因重组凝血因子在乙类，乙类药品需要先有10-15%的自付之后才能报销。乙型血友病和抗体患者的用药情况，凝血酶原复合物在乙类目录中，但其适应症没有乙型血友病，也就是说严格意义上讲乙型血友病使用凝血酶原复合物是不能报销的，基因重组凝血因子9不在目录中。抗体患者所需要的基因重组凝血因子7，也不在目录中，患者使用是不能报销的。,qq594120900,1,,大家都积极参与下
            近悉，国家人力资源和社会保障部将启动新版《城镇基本医保药品目录》审定工作，《城镇基本医保药品目录》，作为城镇居民（含职工、退休人员、城镇儿童）医保报销的依据，将直接影响到血友病患者的日常治疗。,梦不再伤悲,3,,国家调研，在广西群里看到的
            08年汶川地震 缺药 我的腿成90°  后来锻炼了  现在直了  就是不能弯了   屈伸角度不超过10°  不知怎么锻炼   因为屈的时候太疼了！ 有什么办法么,Gyx大傻蛋,4,,我是乙型血友病
            左膝盖大前天晚上肿，伴随大腿根部也肿，就是坐起来屁股会压着的部位。已经三天三夜没睡觉了，父母劝我去医院，但总想着已经挨了几天了，现在才去，之前几天不是白受罪了？当然，我知道这很傻逼。但心里面真是这样想。,憨猪大哥,0,,膝盖肿，周边还痉挛抽搐
            我天朝竟会发生这种事情，我们没有任何错，骗子倒是维护起来自己的行骗权了，刘B仔，你他妈逼不怕生孩没P眼啊,qs15637150526,4,,他妈B的啥世道啊，一个浮夸的骗子弄的跟真的一样
            一楼献给   大家可以下载 网络电话   轰炸他们的客服,我很在乎你miss,5,,我有一个好办法    打网络电话干扰他们刘陕西的客服
            听说现在发帖为被自动加标题，我看看是怎么回事。大家不要理会这个帖子,蚂蚁堂87339700,1,,发帖测试一下
            ,CASSIEY惠子,0,,有没有宿迁的
            1万1的药  报百分之70  只拿到6631   其中自理先付金额2200是什么钱？,a8301668,3,,关于报销问题 为什么有个范围外金额？
            苏州科技学院,Qooogle,0,,苏州科技学院
            我孩子现在1岁半，尊医所述采用预防性治疗，目前每周一次拜科奇注射，已坚持3月有余。每次穿刺部位多部分在脚关节血管处，偶尔头部也穿刺。,似火如烟2,8,,求助
            本人大腿出血，血已经止住了。现在又有点感冒，不知道该用什么类型的感冒药？还有血友病出血的话可以吃哪种类型的消炎药？有时疼痛难忍时又该服用什么类型的止痛药？,渴望有个舞台,3,,血友病要服用哪种感冒药？
            一楼喂狗。,肉肉回家了,4,,我是来声援吧主的！！！！！！！
            ,hanwei888666,2,,无良商家坑钱打官司，如果你赢了，道德就输了
            求给个答案，突然停电两天在外地，影响质量吗？盒子都没打开过,圣西罗22號丶,6,,八因子放冰箱，停电两天，一直在冰箱里还能用吗？
            现在突然换个工作。要喊我去查肝功。  以前好像就是当兵的时候查肝功我没有过。 肝功会查出有血友病吗？,教堂里的老鼠l,8,,问问查肝功会查出有血有病吗？
            我的家庭收入不怎么样！老公做生意不挣钱，只能保持生活，但是又要买保险又要给儿子输因子这一年的花销得三万多，我现在在带孩子又没有收入，但是给儿子每周打俩次针省点也还能过，有的人说出血及时打因子就可以了！有的又说预防治疗，我看了一些帖子，预防治疗能杜绝畸形，降低关节出血率及关节炎的发生！可是老是打针手背血管硬化，我不知道到底该怎么办了，希望大神能告诉我一套解决方案！谢谢，救救迷茫无助的妈妈,朱爱杨之晨帆,36,,儿子应该怎么办
            生活真的很累，却不能说出口。大家都有什么烦心事，一起聊聊天，解解闷吧,Smileboygg,8,,其实我很累。
            B型血友病领域竞争激烈，目前有四家公司进入了phase2阶段，而A型血友病目前仅有BioMarin的BMN270正在进行phase2试验。,车收音,20,,治疗A、B型血友病基因疗法
            大腿出血一直肿到臀部，连续五天了。没天疼的我只能喝下一碗稀饭。今天终于感觉没再继续往上肿了，又一次熬过来了。,1314520240min,12,,终于有所好转
            我是12年右膝关节出血，去医院说要换关节，最后慢慢好了，走路有感觉，不能长时间走路，自那后我都只是散步没有过大的运动，四年都没有出现什么问题，当然允许的条件下适当运动是必要的。,驻地左右,15,,血友保养重要
            我们血友有微信群吗,心比天高师父,8,,我们血友有微信群吗？
            我想问下，血友病属于内科吗,lyihyh,3,,我想问下，血友病属于内科吗
            ,血友的明天,53,,拜科奇有两批因子出现质量问题了？
"            思之再三, 我还是要对血友兄弟们说:",继续这等待,48,,"血友兄弟, 为了健康, 千万不能"
            刚来到这个大家庭，看到这里的一切心里说不出的难受。我自己也是一个血友病着，出生于农村，一路走来今年二十五了。死亡线上针扎了好多次。现在为了生活来到贵州遵义做点小生意，哪知道这里根本没有药，现在左大腿大面积出血，躺在床上痛苦了几天几夜，真的不知道这种日子什么时候是个头,1314520240min,7,,血友病b
            最近一年熬夜经常玩游戏玩手机眼睛越来越模糊了去眼镜店配眼镜验光师说配不了度数加上去没有任何反映有懂得求求你帮帮我好吗,不可思议萝莉控,5,,用眼过度最近一年眼睛越来越模糊了我是重度血友病
            一楼献给国家     谁是黑客   黑了他们的网站,我很在乎你miss,0,,刘陕西的网站现在开了
            求知,lhova,10,,谁能告诉我卖吧事件吗，感觉百度做这种事太恶心了
            我自己就是一名血友病患者，所以我有一些看法和理解希望分享给大家，希望对大家有所帮助。,丛心所御,34,,个人对血友病的看法，希望能帮助到朋友们。
            初六去的医院，右大腿跟子痛，整个腿都麻，痛的几天都没睡好了，初十一回来的，现在还没好。没办法了，在医院一天1000多，差不多我一个月工资了，一直在外面打工，赚点钱就要看病，日子好累！,苦苦滴咖啡,71,,我是新来的，是第九因子缺乏
            好事多磨，经过无数个困难，《血友病其实不可怕》总算印刷成书并且上了淘宝了。只要在淘宝上搜索“血友病其实不可怕”即可找到它。,cnlara,303,,实体书版《血友病其实不可怕》
            中国人坑中国人的行为什么时候能改下，票子挣多少是多，但是心理变态一般的坑钱那就是变态了。支持吧主的正义之举，那些坑钱的不良医生试问你们，你们坑钱的时候有没有想过你们比骗子，小偷的行为还恶劣，盗亦有道。他们都是病人了，钱本来就不多，还这样坑人！！在坑钱你祖坟会爆炸的,IP王者,3,,声援吧主的正义之举
            出血是腿或手肿了不     发青发紫么,大千世界无qby,2,,出血
            ,圣西罗22號丶,9,,血友病性关节炎，能用同位素治疗吗？谁做过这个？
            有德州的血友病友吗？可以交一下朋友，我的Q号2073822543,蓝天之下3575,1,,德州血友
            生物谷刚爆的,血凝人生,17,,生物谷刚爆的
            现在胖的腿受不了，现在150斤，有什么有效的减肥方法。,日向美女,39,,求血友减肥的办法
            楼主因为膝盖滑膜炎比较严重，想预约北京协和医院做手术，可无奈的是我总是预约不到， 求助各位血友们，还有哪里可以做我这手术，如果有经验血友看到，可方便留下医院地址或者医生电话么？谢谢各位了。,boys0954,8,,求助
            一楼给度娘，互相认识下,女巫Zenobia,0,,有重庆的孩纸吗？
            有没有知道在那做基因鉴定血友,邱芷航,23,,有没有知道在那做基因鉴定血友
            山东德州的血友病患者来报道，第一次发帖不知该说些什么,蓝天之下3575,6,,山东德州的血友病患者来报道，第一次发帖不知该说些什么
"            本帖包括常规止血法和血友用的较特殊止血法,需要注意的重点我尽量用中括号【】标出。",开着ET的UFO,75,,各类止血法和出血情况应对的归类科普贴
            血友病可以办低保吗？儿子前几天查出了重型血友病A型。可以办低保嘛？听说可以二次报销。,疯狂的肉包,2,,低保问题。
            向律师在老刘网站看到传给我的，感觉很气愤！,蚂蚁菜,63,,太气人了，管辖权还不能异议了？
            我今日早上六点发现膝盖旁肌肉出血，因为有抗体的缘故，所以无法注射八因子，注射了4500单位的凝血酶原复合物（本人六十公斤）,瑞文ga18,12,,吧友们帮帮忙啊我快疼死了
            粉末的，加点药水直接静脉注射，分量很少。当时没有问到他，请问有人知道这个吗，效果怎么样？,问问510480,15,,我在医院看到也是血友病的在打一种什么凝血酶，有人知道这个吗
            现在胳膊疼。我吞了个保险子。不知道怎么样,孙术彬,102,,云南白药胶囊那个保险子是干嘛的？咱吃行不。
            给指条路，现在迫切需要挣钱,炫丽的黑,16,,血友们，大家都做的什么工作？
            报了驾校，在学科二了 准备体检考科一，但这体检问题是我们血友一难啊 怎么办,浅安小時光,10,,今天驾照体检，哎膝盖啊 ，又让人说走路有问题了
            拜科奇公司给说法没,李feizhicheng,10,,拜科奇
            谁知道太原与大同的医院哪家卖重组八因子，麻烦告诉下或山西其他什么地方卖？我以前在北京买太远麻烦。,请叫我郁闷吧,6,,太原与大同的医院有卖重组八因子吗
            本人现18岁  由于经常吃中药  所以在一位老中医得知一些情况  1.我们这个病在中医来看是脾胃造血功能不足 导致湿热或寒热（出血）  所以平时可以吃一些调理脾胃的中药 2.平时吃的东西也有些禁忌 据我所知道的有两种海鲜和酒  海鲜平时可以偶尔少吃点  但还是尽量别吃  酒是千万不能碰的！尤其是啤酒  喝了当天就会引起出血（这是本人亲身经历还有问过那位老中医） 平时我其实很少喝酒的  但有时候和同学出去吃饭还是会喝一两瓶啤酒  每次喝完就感觉不舒服  当天就引起关节出血了 后来问那位老中医才了解酒是禁忌  3.不知道各位血友注意过没  在下雨或者天气寒冷的时候我们经常犯病  这也就是第一点提到过的  我们这种属于湿（寒）热  所以平时应注意天气变化  宁可热着也别受寒  这点其实和风湿有点类似  4.平时没出血的时候适当锻炼  这点也是很重要的   以上就是我平时的经验  希望同胞看了能够受益  减少犯病几率,籽风SKT,121,,和各位同胞分享下血友病注意事项和经验
            吧务勿删先看一下有何不妥可以和我商议,瞳紫睛,21,,想学习的进来看看
            我是一名女性甲型血友病患者，那我以后的孩子患病几率是多大啊,xrr过于,92,,求大家解答下
            我在这个吧里面还好。如果保养的好几个月发一次。保养的不好个多月发一次。 也从来没输过什么因子。没用任何药物。现在在家里学驾照。下半年跟我老爸出去做生意 卖点东西。朋友也太多 每天跟朋友打打闹闹 只要不太过分 也没事。下午去河里游个泳。日子还算好吧。,深情深情依旧,5,,突然有种感觉
            挺久没来这里发个帖了  因为我差不多快忘了自己是个血友  怎么说呢  几个月和平常人一样健健康康的  偶尔得个小感冒  也觉得挺好的,籽风SKT,64,,论中医对血友的疗效
            ,你的大佳闺秀,42,,血友病有治好的可能吗
            髋关节最要命,腾马化讯飞,1,,大家注意身体
            这种情况需要注意吗？针头处不流血,穿石滴水,13,,孩子刚刚打了百白破第一针，打完发现枕头戳的地方有一圈红
            从小就有血友病  对自己从来没当过病人 从小也打架  喝酒抽烟吃辣椒 纹身 还是大纹身从来没忌讳过 15岁辍学 当时跟我哥到ktv上班 结实了不少夜场的人 每天下班都泡酒吧 认识的女的更是一大片 好过的对象更是不计其数 学习了太多不良社会西气 直到去年结婚 今年髂腰肌反复出血三次 每次都是刚好能正常走路就复发   里面有血块该怎么消除,12312nn57,3,,我是一名血友病患者
            我家宝宝一周岁查出apt t高101.vIII只有0.3医生说是属于重度的！我想知道这个数据对孩子以后有多大影响！,___姜先生,3,,病友们给我说明一下
            上火左耳出血了，抗了几天，没抗住，现在在医院输了4袋冷沉淀……跟他妈抽大烟似的……,qq5115128,9,,血友们进
            我们能喝啤酒还有果啤吗？,mc4605066,3,,有个问题问下 诸位吧友 ！
            ,___姜先生,0,,2016最新大病医疗报销
            我家宝宝被查出凝似血友病，这种病是不是只有遗传才能得。别的外在原因得的希望大不大？,___姜先生,5,,血友病是遗传的吗？
            我接了一个相框照片制作的活，由于节日，活儿暴多，那家老板让我找伙伴，如图，要用拍的照片转成素描，然后套模板改文字，一元一张，钱不多，但是活多，多干多赚。想干的在此楼留言，我给你介绍。,陈玉堪,21,,大家好，想做美工赚钱的，看看这里。
            沟通能力强的来！带你们挣钱！网上客服类！全靠自己挣钱的哦！,你住在谁心里,91,,大家是不是都没有工作！那么快看过来！
            我分不清内脏出血和脑出血及脑皮下出血还有颅出血。它们的发病特征和症状是什么。当发生关节出血的时候怎么才能第一时间知道及打针,朱爱杨之晨帆,2,,大神请帮忙，
            医院好久能做同位素啊 北京，山东都可以，有知道的血友可以说下吗？,A沙漠飞狼,3,,同位数
            疼痛难忍求推荐！谢谢,狮子铣刀,2,,血友病患者可以吃的止疼药求推荐！
            [url=,陈玉堪,11,,告诉亲们一个可以自学PS和平面设计的免费网站！
            请知道的吧友能快点回我,无奈ii123,17,,手肘有点不舒服，可能刚开始出血，冰敷可以缓解吗？
            如题。,疯狂的肉包,14,,求助贴血友病凝血因子多少算是重型。
            大腿叶子酸的特别难受，而且就像筋短一样不能伸直，没有肿，怎么办求助,紅色的紅,2,,大腿叶子酸的特别难受，而且就像
            ,蓝天丶伏特加,4,,丫丫个呸的。
"            致病机理",血友病哥们不怕,14,,血友病基础知识
            谁知道北京协和医院，理疗仪是什么类型的，我想买回来在家用。谢谢,李feizhicheng,2,,理疗仪
            孩子十岁了，腿伸不直，怎么办,李feizhicheng,41,,腿伸不直
            经过我们团队合议，发起了一次轻松筹。这次筹款介绍由于没有介绍我们这个疾病，转发或者支持的人几乎没有，宣传方法各种都尝试了。,丫丷丫丷,18,,万能的友友们，血友创业团队需要你们
            我是一名大学生血友，大家都知道我们这类人身体素质差，干不了重活什么的，所以我之前凑钱开了一家淘宝店铺，买衣服，包什么的，但是可能由于缺少经验，没人气   ，所以我就想着吧友能不能照顾一下，，毕竟血友不容易。本应该互相帮助。,图图爱吃糖果,7,,我是一名大学生血友
            膝关节有积水伸不直，有两年了，现在该怎么办？,李feizhicheng,10,,膝关节有积水伸不直怎么办
            贵州有哪个医院在卖9因子，急需,承松麻,22,,贵州有哪个医院在卖9因子，急需
            高三刚毕业想做这个，该去哪做？,并非一念之间,29,,河南地区哪个医院能做包皮手术？
            ,戒色修心1994,108,,献给那些有时间愿意去学习的友
            有懂得下名字！,鬼月仆,19,,我们能吃的止疼片？
            今天又看到说些迷茫的友友，不知道干什么。,i騎著小豬耕田,156,,献给迷茫的你们，把我懂的分享给你们。
            ,★彼岸幻花★,102,,【照片贴】这个人间四月天、繁花锦簇的春天哦。。。。^_^
            虽然我知道这样的帖子已经发了很多遍，但我看到不断还有血友患者和家属被欺骗，还是忍不住提醒大家，血友病目前无法被治愈，只能通过注射因子和血液制品来升高因子浓度进行替代治疗，长效因子和基因治疗目前仍在研发阶段，目前尚没有其他手段可以提高因子含量，更别说治愈。网上刘陕西那个是假的，千万别上当。还有什么中医，中西医结合治疗成功治愈和提升因子含量的千万别信，让那些昧着良心欺骗血友的骗子都下地狱去吧！,勇敢走下去baby,22,,血友们别上当
            想去医  院开点八因子怎么带回家    大家帮帮忙   谢谢了,哪去了咯,15,,想去医  院开点八因子怎么带回
            ,oO阿笨Oo,51,,感谢上天，我们还活着。
            血友病有望治愈。,乐天欧巴,8,,血友病基因疗法获FDA突破性疗法认定
            一楼百度,山东血友联谊会,24,,血友病简明讲义－给刚得知患血友病患者及亲人的普及读物
            暑假准备给儿子做疝气手术有做过的么，需要注意些什么，因子用量，术后恢复什么的.,小猪射手威廉,29,,吧里有做过疝气手术的吗？进来聊一下
            刚上班没一个星期呢 ，结果右腿膝关节出血了，休息了两天缓解了，不知道这次能撑多长时间呢！本人从事的金融贷款业务！有需要的可以找我的！,雪落情成殇,4,,心累
            昨晚手指被门挤了一下，没肿也没破，现在弯不了。咋办？贴膏药还是喷药💊？别告诉我还要打因子哈,y孤星赶月,8,,昨晚手指被门挤了一下，没肿也没
